open,high,low,close,volume,timestamp
58025.88000000,58205.67000000,57850.00000000,57930.32000000,2208.47429500,1620601199999
57930.31000000,58439.70000000,57929.84000000,58240.84000000,2032.90586500,1620604799999
58240.83000000,58887.82000000,58009.96000000,58858.60000000,2735.07029700,1620608399999
58858.60000000,58985.00000000,58610.16000000,58700.21000000,2415.25014600,1620611999999
58699.99000000,59066.00000000,58650.39000000,58982.81000000,2164.33811400,1620615599999
58978.95000000,59444.90000000,58929.33000000,59356.76000000,3590.54996700,1620619199999
59356.77000000,59500.00000000,59003.37000000,59154.67000000,3062.81328300,1620622799999
59154.67000000,59439.98000000,58680.26000000,59068.05000000,2521.16623500,1620626399999
59068.66000000,59180.00000000,58755.00000000,58833.93000000,1799.15279800,1620629999999
58833.92000000,58965.01000000,58355.79000000,58370.17000000,2502.86756300,1620633599999
58370.17000000,58593.79000000,58016.33000000,58372.87000000,2898.39359000,1620637199999
58372.86000000,58573.54000000,57736.46000000,57899.65000000,3262.37943600,1620640799999
57899.65000000,58167.83000000,57550.00000000,57866.23000000,2697.70420000,1620644399999
57866.24000000,58300.00000000,57301.81000000,58070.63000000,3624.60594900,1620647999999
58070.63000000,58231.46000000,57526.25000000,57654.57000000,3500.83553800,1620651599999
57650.01000000,57938.12000000,57455.00000000,57675.84000000,3403.48450700,1620655199999
57675.84000000,57675.84000000,56815.00000000,56831.59000000,4097.35071400,1620658799999
56831.59000000,58320.00000000,56700.00000000,58296.36000000,5490.74123700,1620662399999
58296.35000000,58593.70000000,57556.99000000,57572.32000000,4239.66640600,1620665999999
57572.32000000,57693.44000000,56849.75000000,56985.30000000,4085.39845600,1620669599999
56985.30000000,57195.32000000,56388.26000000,56771.88000000,4418.64385600,1620673199999
56771.87000000,56977.48000000,55516.85000000,55733.76000000,6241.02798200,1620676799999
55733.76000000,55739.62000000,53400.00000000,55240.88000000,11462.11008200,1620680399999
55246.69000000,55843.09000000,55027.18000000,55641.11000000,3014.24280900,1620683999999
55640.76000000,56269.89000000,55367.15000000,56229.93000000,3377.21804100,1620687599999
56229.92000000,56230.12000000,55418.98000000,55816.14000000,2981.33804400,1620691199999
55816.14000000,56435.48000000,55429.99000000,55460.08000000,3554.53864500,1620694799999
55453.39000000,55815.29000000,55064.13000000,55565.33000000,3604.83161200,1620698399999
55565.33000000,55942.26000000,54505.00000000,54600.00000000,3617.74288300,1620701999999
54600.00000000,55283.68000000,54370.00000000,55142.46000000,3510.76587500,1620705599999
55142.44000000,55545.69000000,54986.47000000,55337.04000000,2646.34480000,1620709199999
55337.03000000,55484.36000000,54589.00000000,54798.00000000,2345.24979600,1620712799999
54788.60000000,55800.00000000,54721.89000000,55677.12000000,2548.33305800,1620716399999
55677.12000000,55846.90000000,55421.84000000,55740.09000000,1960.49195900,1620719999999
55737.89000000,55893.90000000,55153.14000000,55341.27000000,3137.06198600,1620723599999
55341.28000000,56027.63000000,55315.49000000,55901.15000000,2573.22675200,1620727199999
55901.14000000,56190.00000000,55733.45000000,55841.78000000,2557.38398700,1620730799999
55841.79000000,55963.86000000,55125.71000000,55210.47000000,2732.69837300,1620734399999
55210.47000000,55418.80000000,54766.44000000,55374.08000000,3862.93746500,1620737999999
55374.08000000,55760.01000000,54875.00000000,55750.00000000,3879.88177500,1620741599999
55750.00000000,55885.77000000,55485.14000000,55688.00000000,3119.83338800,1620745199999
55688.00000000,56176.00000000,55545.28000000,56052.82000000,3032.66246100,1620748799999
56052.83000000,56553.42000000,55750.00000000,55999.69000000,3493.02927400,1620752399999
55999.68000000,56500.00000000,55927.27000000,56395.10000000,2213.85712600,1620755999999
56395.09000000,56690.00000000,56249.38000000,56383.66000000,2035.25496800,1620759599999
56383.66000000,56850.00000000,56330.30000000,56608.94000000,1880.39254900,1620763199999
56608.93000000,56850.00000000,56464.73000000,56806.34000000,1629.03468800,1620766799999
56806.35000000,56862.43000000,56288.43000000,56510.26000000,1504.02344300,1620770399999
56510.26000000,56654.71000000,56307.43000000,56399.99000000,1452.75299000,1620773999999
56399.99000000,56767.96000000,56168.98000000,56670.02000000,1437.21069700,1620777599999
56670.02000000,57360.07000000,56555.12000000,57348.95000000,3166.90705300,1620781199999
57344.48000000,57360.00000000,56924.37000000,57033.35000000,2018.79006500,1620784799999
57033.35000000,57337.81000000,56932.83000000,57172.94000000,2235.72799600,1620788399999
57170.20000000,57872.18000000,56937.78000000,57756.94000000,3310.80444800,1620791999999
57756.95000000,58000.01000000,57284.82000000,57355.30000000,2702.27361400,1620795599999
57355.29000000,57504.65000000,57160.01000000,57227.98000000,1948.73803100,1620799199999
57227.98000000,57366.92000000,56900.00000000,57009.55000000,2517.10441400,1620802799999
57011.67000000,57250.00000000,56882.00000000,57101.07000000,1915.34372500,1620806399999
57101.08000000,57180.00000000,56580.00000000,56912.77000000,3332.81199400,1620809999999
56912.77000000,57195.50000000,56730.00000000,56855.43000000,2163.09666700,1620813599999
56855.42000000,56861.01000000,55950.45000000,56026.83000000,3903.57009600,1620817199999
56026.83000000,56517.22000000,55967.13000000,56421.46000000,2722.41529000,1620820799999
56421.45000000,56615.45000000,56164.00000000,56316.76000000,2723.56278800,1620824399999
56316.76000000,56850.00000000,55700.00000000,56760.11000000,3996.55093400,1620827999999
56760.10000000,56900.00000000,56000.00000000,56073.03000000,3641.37238100,1620831599999
56073.04000000,56126.29000000,55232.56000000,55479.13000000,5861.52974800,1620835199999
55479.13000000,55677.31000000,54392.74000000,55013.01000000,6443.65717600,1620838799999
55013.01000000,55329.30000000,54687.05000000,54865.13000000,3002.00731400,1620842399999
54863.94000000,55144.98000000,53576.30000000,54082.52000000,6339.65122400,1620845999999
54082.52000000,54526.30000000,53500.00000000,54432.39000000,4578.14334400,1620849599999
54437.00000000,54660.17000000,53983.05000000,54420.14000000,2585.94518200,1620853199999
54420.14000000,54751.92000000,54300.00000000,54533.16000000,1891.94071300,1620856799999
54533.16000000,54746.82000000,51563.19000000,52942.79000000,12842.47011700,1620860399999
52938.97000000,52950.55000000,48600.00000000,49631.32000000,13998.37552200,1620863999999
49537.15000000,50630.00000000,46000.00000000,49666.99000000,19866.03039300,1620867599999
